Prompt,Intent,domain
When was MUGARD taken last for the member with claim 201533994612000?,DrugLast,claim_history_search
Show the latest claim for MUGARD for the member with claim 201533994612000 including status and fill details.,DrugLast,claim_history_search
Give me all claims for the member with claim 201533994612000 for MUGARD.,DrugLast,claim_history_search
Give me claims for the member with claim 201533994612000 for the last 2 months.,date_range_claims,claim_history_search
Give me claims for the member with claim 201533994612000 in the last 90 days for MUGARD.,date_range_claims,claim_history_search
Are there any MUGARD claims rejected for the member with claim 201533994612000?,Status,claim_history_search
Any claim that was paid using Prior Authorization for MUGARD for the member with claim 201533994612000 in the last 30 days?,PriorAuth,claim_history_search
Are there any claims with a transition fill (TF) tag this year for the member with claim 201533994612000?,Status,claim_history_search
What was the last fill date for MUGARD for the member with claim 201533994612000?,DrugLast,claim_history_search
Was the MUGARD claim on 03/15/2024 paid or rejected for the member with claim 201533994612000?,Status,claim_history_search
Did the member with claim 201533994612000 get their MUGARD refill this month?,Refills,claim_history_search
How much did the member with claim 201533994612000 pay out of pocket for MUGARD on the last fill?,Pricing,claim_history_search
What has the member with claim 201533994612000 spent on prescriptions year-to-date?,Pricing,claim_history_search
Show me all claims having deductible or out of pocket amount greater than zero for the member with claim 201533994612000.,Pricing,claim_history_search
Show me all claims having a TrOOP amount for the member with claim 201533994612000.,Pricing,claim_history_search
Show me all rejected claims with reject code 75 for the member with claim 201533994612000 in the last 6 months.,RejectCode,claim_history_search
Was another claim ever submitted for the member with claim 201533994612000 after this rejection?,Status,claim_history_search
Identify claims rejected for refill too soon or quantity limits or eligibility issues for the member with claim 201533994612000.,RejectCode,claim_history_search
Summarize the claim history for the member with claim 201533994612000 for the last 90 days including total claims and rejected claims and reasons and PA-related claims and top medicines.,date_range_claims,claim_history_search
"Provide the approval summary for claim 243122443413000 sequence 001, including any plan overrides triggered during adjudication.",approval_info,cap_api
What transition fill type was applied when processing claim 198734561209000 seq 002?,approval_info,cap_api
Show me the BPG configuration used to adjudicate claim 312045678934000 sequence 001.,approval_info,cap_api
TF status for claim 267891234500000 seq 003 â€” was a transition fill override applied?,approval_info,cap_api
I need to know if Smart PA or Member PA was applied during approval of claim 201533994612000 sequence 001.,approval_info,cap_api
Retrieve the adjudication pathway and plan overrides for claim 389012456723000 seq 001.,approval_info,cap_api
"Generate a TF summary for claim 456712309845000 sequence 002, specifically the transition fill type and whether accumulations were considered.",approval_info,cap_api
Did claim 521098376412000 seq 001 go through a Smart PA approval? Show me the override logic.,approval_info,cap_api
What plan options and BPG config were active when claim 634521890370000 seq 001 was processed?,approval_info,cap_api
Fetch the transition fill details and approval info for claim 712340985621000 sequence 001.,approval_info,cap_api
Approval details for claim 845609123478000 seq 002 â€” which overrides were triggered?,approval_info,cap_api
Was a member PA or plan PA applied to claim 901234567890000 sequence 001 during adjudication?,approval_info,cap_api
