Prompt,Intent,domain
When was MUGARD taken last for the member with claim 201533994612000?,DrugLast,claim_history_search
Show the latest claim for MUGARD for the member with claim 201533994612000 including status and fill details.,DrugLast,claim_history_search
Give me all claims for the member with claim 201533994612000 for MUGARD.,DrugLast,claim_history_search
Give me claims for the member with claim 201533994612000 for the last 2 months.,date_range_claims,claim_history_search
Give me claims for the member with claim 201533994612000 in the last 90 days for MUGARD.,date_range_claims,claim_history_search
Are there any MUGARD claims rejected for the member with claim 201533994612000?,Status,claim_history_search
Any claim that was paid using Prior Authorization for MUGARD for the member with claim 201533994612000 in the last 30 days?,PriorAuth,claim_history_search
Are there any claims with a transition fill (TF) tag this year for the member with claim 201533994612000?,Status,claim_history_search
What was the last fill date for MUGARD for the member with claim 201533994612000?,DrugLast,claim_history_search
Was the MUGARD claim on 03/15/2024 paid or rejected for the member with claim 201533994612000?,Status,claim_history_search
Did the member with claim 201533994612000 get their MUGARD refill this month?,Refills,claim_history_search
How much did the member with claim 201533994612000 pay out of pocket for MUGARD on the last fill?,Pricing,claim_history_search
What has the member with claim 201533994612000 spent on prescriptions year-to-date?,Pricing,claim_history_search
Show me all claims having deductible or out of pocket amount greater than zero for the member with claim 201533994612000.,Pricing,claim_history_search
Show me all claims having a TrOOP amount for the member with claim 201533994612000.,Pricing,claim_history_search
Show me all rejected claims with reject code 75 for the member with claim 201533994612000 in the last 6 months.,RejectCode,claim_history_search
Was another claim ever submitted for the member with claim 201533994612000 after this rejection?,Status,claim_history_search
Identify claims rejected for refill too soon or quantity limits or eligibility issues for the member with claim 201533994612000.,RejectCode,claim_history_search
Summarize the claim history for the member with claim 201533994612000 for the last 90 days including total claims and rejected claims and reasons and PA-related claims and top medicines.,date_range_claims,claim_history_search
Claim 201533994612000 sequence 004 overall status.,claim_status,cap_api
Who wrote this script on claim 201533994612000 seq 004?,prescriber_info,cap_api
What fill number is this  is it original or a refill on claim 201533994612000 seq 004?,rx_details,cap_api
What is the fill count for claim 201533994612000 seq 004?,rx_details,cap_api
Is this a new fill or a continuation on claim 201533994612000 seq 004?,rx_details,cap_api
Was claim 201533994612000 seq 004 covered under Medicaid managed care?,rx_details,cap_api
What is the fulfillment channel ” retail or mail on claim 201533994612000 seq 004?,mail_order_info,cap_api
Is there a low income subsidy applied to the pricing on claim 201533994612000 seq 004?,medicare_part_d,cap_api
What timestamps are on record for claim 201533994612000 seq 004's processing?,audit_info,cap_api
Coverage tier and eligibility details for claim 201533994612000 seq 004 beneficiary.,beneficiary_info,cap_api
How close is this member to reaching the coverage gap on claim 201533994612000 seq 004?,beneficiary_info,cap_api
What is the total year-to-date spend for the member with claim 201533994612000?,Pricing,claim_history_search
Were any claims flagged for therapeutic duplication on claim 201533994612000 seq 004?,drug_interaction_info,cap_api
Search claims by pharmacy response code number for the member with claim 201533994612000.,Settlement,claim_history_search
