text,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match,confidence,raw_confidence,margin,source,agreement,is_confusion_pair,gate_reason
What is the approval status of claim 132435151040074 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9997371313691018,0.7521227206974491,0.9996307447064346,ensemble,True,False,pass
Is claim 180571470939000 sequence 001 approved or denied?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.8996055576055206,0.7276773393764538,0.8994429565618252,ensemble,True,True,pass
Approval summary for claim 201503823714118 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.897951281137051,0.5741081452951191,0.8971659040233131,ensemble,True,True,pass
Check the approval reason for claim 201752592251000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9907029943709337,0.4455600438954006,0.9853358097955228,ensemble,True,False,pass
"Was claim 201990819198000 sequence 001 approved? If so, what were the approval messages?",approval_info,approval_info,True,benefits_api,benefits_api,True,0.8864870186356033,0.4490651051072876,0.8807777211988206,ensemble,True,True,pass
List the plan overrides that led to approval of claim 211263773300000 sequence 004.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9979626944322952,0.5838190926971348,0.996688218410972,ensemble,True,False,pass
What BPG configuration was used to approve claim 220133725669000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9990994450400208,0.567273438973509,0.9989692744451732,ensemble,True,False,pass
Claim 220992183436835 sequence 002 approval details.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9981922634152819,0.6330557644379383,0.9974217501477057,ensemble,True,False,pass
Did claim 221172865083001 sequence 001 pass adjudication? Show the approval logic.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9829816252410872,0.3799986228176102,0.9756701305613473,ensemble,True,False,pass
What override codes were applied to approve claim 221663541811000 sequence 001?,rejection_reasons,approval_info,False,cap_api,benefits_api,False,0.9987322825814563,0.5330561406860571,0.9986108098349638,ensemble,True,False,pass
Approval status and messages for claim 222492018072002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9997293547709982,0.7392632747100176,0.9996147359350157,ensemble,True,False,pass
Explain the approval decision for claim 222492117457002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.99574972265388,0.613500789564927,0.9920221718454043,ensemble,True,False,pass
What plan options led to approval on claim 230624075311000 sequence 002?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9960887807587275,0.446422444764705,0.9954810653963847,ensemble,True,False,pass
Lookup approval information for claim 231865207544000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.8864662816471212,0.43265666296127586,0.8796841700766064,ensemble,True,True,pass
Show the approval codes associated with claim 231912348363000 sequence 002.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9945319489483098,0.43056029220399283,0.9931325745204987,ensemble,True,False,pass
Claim 240051073172000 sequence 001: approval or rejection?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9997459215434071,0.7114498666120624,0.9996611656912175,ensemble,True,False,pass
What were the accumulation overrides on approved claim 240063508485000 sequence 001?,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True,0.9016487568813355,0.43689029526921597,0.8868097531154175,llm,False,False,disagreement
Adjudication outcome and approval details for claim 240063519295000 sequence 001.,claim_status,approval_info,False,cap_api,benefits_api,False,0.561599345448442,0.3592151982821271,0.29698763105299625,llm,False,True,disagreement
Pull the approval summary and override details for claim 240094966940000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9983028452105291,0.551102816556624,0.9976089907535681,ensemble,True,False,pass
What is the transition fill status of claim 130041467416065 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9517422799576152,0.4101322049687456,0.9061121044152664,ensemble,True,False,pass
Is claim 132435151040074 sequence 001 a transition fill?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.8758909140713843,0.37071062980096725,0.8348709832634589,llm,False,False,disagreement
Transition fill details for claim 150692388845000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9907264139238542,0.5300949388401301,0.9821861485248797,ensemble,True,False,pass
Was a TF applied to claim 160060096136030 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.8966652743259383,0.4321025674614105,0.8964069935222293,ensemble,True,True,pass
Check if transition fill was triggered for claim 180571470939000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.7140249177728467,0.3087869850120726,0.5122789962946248,llm,False,False,disagreement
