Prompt,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match,confidence,raw_confidence,margin,source,agreement,is_confusion_pair,gate_reason
What is the current adjudication outcome for claim 242905816136000 sequence 003?,claim_status,claim_status,True,cap_api,cap_api,True,0.8992465424605147,0.6330633858901791,0.8988925903612043,ensemble,True,True,pass
Tell me whether claim 150692388845000 was paid or denied.,claim_status,claim_status,True,cap_api,cap_api,True,0.6972974077176397,0.28685621071355905,0.5044195088227411,ensemble,True,True,pass
Has this claim been fully processed yet?,claim_status,claim_status,True,cap_api,cap_api,True,0.8998626296209346,0.7497915611524537,0.8998394791937753,ensemble,True,True,pass
Claim 230381673488000 sequence 001 overall status.,claim_status,approval_info,False,cap_api,benefits_api,False,0.3488187615366961,0.11623038312025633,0.213035665001446,ensemble,False,True,disagreement
Give me a quick rundown of what happened to this claim.,claim_status,claim_status,True,cap_api,cap_api,True,0.9932865433708599,0.4382956964626368,0.9915448368974287,ensemble,True,False,pass
Paid or rejected? Claim 211263773300000 sequence 004.,claim_status,claim_status,True,cap_api,cap_api,True,0.8574512088134372,0.3821994503379157,0.8244950065025637,ensemble,True,True,pass
I just need to know if this claim went through.,claim_status,claim_status,True,cap_api,cap_api,True,0.8998853443697326,0.7541914085928428,0.8998658881833046,ensemble,True,True,pass
Pull the adjudication result for claim 220992183436835 sequence 002.,claim_status,claim_status,True,cap_api,cap_api,True,0.8283435137812009,0.21228588580250107,0.7208539480191496,ensemble,True,False,pass
What is the final disposition on this prescription claim?,claim_status,claim_status,True,cap_api,cap_api,True,0.5642450660515037,0.1640823809124763,0.2690969055582408,ensemble,False,False,disagreement
Status check on claim 201752592251000 sequence 001 please.,claim_status,claim_status,True,cap_api,cap_api,True,0.9977849240428526,0.5605766820827514,0.9972521713796555,ensemble,True,False,pass
Can you give me a summary of all claims on file for this member?,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9998291617347222,0.7349458849789278,0.9997825546897018,ensemble,True,False,pass
I need a complete overview of every claim submitted under this member ID.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9937129816980947,0.4538791131104398,0.9898322126328685,ensemble,True,False,pass
Show me all the claims this member has had processed.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9997663550550386,0.7239386435520967,0.9996819981149523,ensemble,True,False,pass
Full claims history overview for this member please.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9997483270580466,0.73057157526693,0.9996191725843816,ensemble,True,False,pass
Pull up a consolidated summary of this member's entire claims list.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9990809898045563,0.5867317731208143,0.9989331006797237,ensemble,True,False,pass
How many total claims does this member have and what are they?,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9997607684713458,0.7023842175437371,0.9997072482590597,ensemble,True,False,pass
List every claim associated with member 44781239.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.8821293515963271,0.209741932048555,0.8433041637910469,ensemble,True,False,pass
Multi-claim summary for this patient.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9996801412155111,0.6609607963852207,0.9996476453098497,ensemble,True,False,pass
Aggregate all claims for this individual and show me the highlights.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9926367033829531,0.3873569982789614,0.9909443629462482,ensemble,True,False,pass
I want to see the big picture on all claims for this member.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.9980851474734029,0.522895156428803,0.9974030820800383,ensemble,True,False,pass
Which pharmacy location filled claim 201503823714118 sequence 001?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.8970119151610838,0.578868959417282,0.8951909108174367,ensemble,True,True,pass
Dispensing pharmacy name and address for this claim.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.8988280475008795,0.6311813690834156,0.8980669211493867,ensemble,True,True,pass
What is the NCPDP number for the pharmacy on this fill?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.9998243396048585,0.7080691111927722,0.9998029744332503,ensemble,True,False,pass
Where was this prescription physically dispensed?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.9998745669622957,0.7323849708354151,0.9998610323840784,ensemble,True,False,pass
Pharmacy details for claim 230624075311000 sequence 002.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.8999052941258274,0.7936801110077779,0.8998757351694431,ensemble,True,True,pass
What store filled this medication?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.885111324486896,0.3860553649373184,0.8774267575668215,ensemble,True,True,pass
Can you look up the dispensing pharmacy for claim 221172865083001?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.8983027158645414,0.5230209681981115,0.8977465625990049,ensemble,True,True,pass
Tell me the pharmacy name and store number on this claim.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.9993561521133641,0.7005424051374208,0.999010722473671,ensemble,True,False,pass
NCPDP and location of the dispensing pharmacy.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.9858340464858479,0.31857258584215553,0.9834758879076738,ensemble,True,False,pass
Which CVS or retail location processed this prescription?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True,0.8836198154337361,0.3539933734010423,0.8729484955063714,ensemble,True,True,pass
Who prescribed the medication on claim 180571470939000 sequence 001?,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.999947708738131,0.8010337905435281,0.9999395317839864,ensemble,True,False,pass
Physician name and NPI for this claim.,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.8947993931926543,0.5038921885985501,0.8910173576591214,ensemble,True,True,pass
Prescribing doctor credentials for claim 220133725669000 sequence 001.,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.8969134166628197,0.46433879309843223,0.895552478474619,ensemble,True,True,pass
What is the NPI of the prescriber on this fill?,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.8687517371174545,0.3417273425555454,0.8477189795064353,ensemble,True,True,pass
Tell me the doctor's information for this prescription.,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.9975830912893342,0.5451178188286577,0.9967342716725194,ensemble,True,False,pass
Show prescriber details on claim 231865207544000 sequence 001.,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.9995553139155772,0.6244771404670864,0.9994962975630846,ensemble,True,False,pass
Who wrote this script?,prescriber_info,help,False,cap_api,general,False,0.3461694095098184,0.1133146644276346,0.1782186757086202,ensemble,False,False,disagreement
Can I see the prescribing physician's name and license?,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.9967853361008597,0.43052981134077484,0.996296007710655,ensemble,True,False,pass
Prescriber info claim 201990819198000 sequence 001.,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.893471032726866,0.37415668361350995,0.8915607458256418,ensemble,True,True,pass
What provider is associated with this prescription claim?,prescriber_info,prescriber_info,True,cap_api,cap_api,True,0.9860730076935591,0.36132423155870863,0.9824181727133875,ensemble,True,False,pass
Break down the copay and ingredient cost for claim 132435151040074 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True,0.8926543992532368,0.5405594891834858,0.8869111865328747,ensemble,True,True,pass
What did the patient end up paying out of pocket on this claim?,pricing_info,pricing_info,True,cap_api,cap_api,True,0.9875055622504118,0.37368849441977015,0.9836024819575842,ensemble,True,False,pass
Dispensing fee and total cost breakdown for this fill.,pricing_info,pricing_info,True,cap_api,cap_api,True,0.899784979058038,0.719054329007069,0.8997406359895911,ensemble,True,True,pass
How much was the copay on claim 220133725669000 sequence 001?,pricing_info,pricing_info,True,cap_api,cap_api,True,0.9790390003973678,0.47029213215570254,0.961411818379255,ensemble,True,False,pass
Patient pay amount for this prescription.,pricing_info,pricing_info,True,cap_api,cap_api,True,0.9985399267230117,0.6199877929942821,0.9977238430555282,ensemble,True,False,pass
Claim 242905816136000 sequence 001 cost summary.,pricing_info,pricing_info,True,cap_api,cap_api,True,0.9889105366600176,0.3962412469520442,0.9831856803237197,ensemble,True,False,pass
U&C price versus the plan-paid amount on this claim.,pricing_info,pricing_info,True,cap_api,cap_api,True,0.8997777962650557,0.7352654147060891,0.8996513330200455,ensemble,True,True,pass
Ingredient cost and member responsibility for claim 150692388845000.,pricing_info,pricing_info,True,cap_api,cap_api,True,0.7736870805052763,0.26481720285236354,0.6610049770502578,ensemble,True,True,pass
What was the total amount billed on this fill?,pricing_info,pricing_info,True,cap_api,cap_api,True,0.9597398309981643,0.3134384711487203,0.9414592289270016,ensemble,True,False,pass
Show the pricing breakdown including AWP and dispensing fee.,pricing_info,pricing_info,True,cap_api,cap_api,True,0.8676728786181991,0.31848190571105317,0.8545606172549576,ensemble,True,True,pass
How much did the plan reimburse the pharmacy for this claim?,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.99985568649728,0.7384171999302529,0.9998198931201029,ensemble,True,False,pass
Total payment to the dispensing pharmacy on claim 220992183436835.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9965475259901004,0.5166517905411457,0.994783582409855,ensemble,True,False,pass
Pharmacy reimbursement amount for this fill.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9997929354922029,0.7382975452765755,0.9997300498695015,ensemble,True,False,pass
What amount was paid out to the pharmacy?,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9998256455981069,0.733164275264121,0.9997896887802004,ensemble,True,False,pass
Show the reimbursement calculation for claim 201503823714118 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9993267117260036,0.5905638520382228,0.9991456819242958,ensemble,True,False,pass
Reimbursement details and rationale for this claim.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9998432572956403,0.7150167039012169,0.9998238114693772,ensemble,True,False,pass
How did the plan determine the pharmacy payment amount?,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9998048676515247,0.7017145274160478,0.999778396658351,ensemble,True,False,pass
Was the pharmacy paid MAC or AWP on this fill?,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9997216729994315,0.6797104272282675,0.9996952946620514,ensemble,True,False,pass
Payment made to pharmacy for claim 230381673488000 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9930383171025251,0.42816904913782,0.9914279039456915,ensemble,True,False,pass
What was the final reimbursement to the dispensing location?,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True,0.9712737107690614,0.31059681076501333,0.9549577148336716,ensemble,True,False,pass
Why did claim 211263773300000 sequence 004 get denied?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9994559852780465,0.6593282491397308,0.9992734307465394,ensemble,True,False,pass
What reject codes came back on this claim?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.8087300721614571,0.4388532664791953,0.6983432329257603,ensemble,False,False,disagreement
Show me the failed edits for claim 150692388845000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9943900318260783,0.48755347347741557,0.9911592245147028,ensemble,True,False,pass
"This claim was denied — why, and how can I resolve it?",rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.8964591935117306,0.58490242211454,0.8934363517049724,ensemble,True,True,pass
What NCPDP rejection codes were returned?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9885314490555688,0.4767525992453161,0.9787956695319093,ensemble,True,False,pass
Explain the denial reason on claim 220133725669000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.999482162307283,0.680600250868362,0.9993229313993645,ensemble,True,False,pass
Claim 242905816136000 sequence 001: rejection explanation.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9994206522858528,0.6162652425790898,0.9992908376505186,ensemble,True,False,pass
What edits failed on this claim and what are the override options?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9835553059767238,0.3717608815721466,0.9750794416184477,ensemble,True,False,pass
Tell me why this prescription could not be processed.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.8675565626153467,0.21675341086724859,0.7781982578942074,ensemble,True,False,pass
Rejection codes and resolution steps for this fill.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9902389501202508,0.3748016980247235,0.9880459133961504,ensemble,True,False,pass
What are the pharmacy response codes on claim 201752592251000?,settlement_info,settlement_info,True,cap_api,cap_api,True,0.9983080671639937,0.5077879289784271,0.9980643237985457,ensemble,True,False,pass
Show settlement feedback for this claim.,settlement_info,settlement_info,True,cap_api,cap_api,True,0.9985835246614401,0.561945953059191,0.9981522814493586,ensemble,True,False,pass
Feedback codes for claim 220133725669000 sequence 001.,settlement_info,settlement_info,True,cap_api,cap_api,True,0.9960365052136101,0.4260550919782235,0.9953540529402566,ensemble,True,False,pass
What did the pharmacy system return as the settlement?,settlement_info,settlement_info,True,cap_api,cap_api,True,0.9863887035441468,0.39703070102114113,0.9809772086449572,ensemble,True,False,pass
Settlement code and response info for this specific claim.,settlement_info,settlement_info,True,cap_api,cap_api,True,0.8266334972848807,0.5150864642897185,0.7536522845155943,ensemble,True,True,pass
Claim 230624075311000 sequence 002 settlement details.,settlement_info,settlement_info,True,cap_api,cap_api,True,0.9985150396218285,0.5939425687262582,0.9980270266984481,ensemble,True,False,pass
What are the pharmacy feedback messages on this fill?,settlement_info,settlement_info,True,cap_api,cap_api,True,0.9899976171589644,0.33766517062399204,0.9884359387293564,ensemble,True,False,pass
Pull the settlement response code for claim 242905816136000.,settlement_info,settlement_info,True,cap_api,cap_api,True,0.45429249145870276,0.33358720523917884,0.08147043733329207,ensemble,False,True,disagreement
What response was sent back to the pharmacy on this claim?,settlement_info,settlement_info,True,cap_api,cap_api,True,0.9968608779344378,0.47275729537332745,0.9962174945207035,ensemble,True,False,pass
Show me the NCPDP response fields for this transaction.,settlement_info,settlement_info,True,cap_api,cap_api,True,0.7109084204661009,0.16872435264402136,0.6800337435492997,ensemble,False,False,disagreement
What is the prescription number on claim 132435151040074 sequence 001?,rx_details,rx_details,True,cap_api,cap_api,True,0.9963097318915972,0.5201075529059416,0.9941045100617507,ensemble,True,False,pass
How many days supply was dispensed on this fill?,rx_details,rx_details,True,cap_api,cap_api,True,0.9997358170044612,0.7471358050544924,0.9995729170252534,ensemble,True,False,pass
Show the RX number and quantity for claim 201503823714118.,rx_details,rx_details,True,cap_api,cap_api,True,0.99920536945857,0.5622197117707814,0.9991268063982888,ensemble,True,False,pass
What fill number is this — is it original or a refill?,rx_details,Refills,False,cap_api,claim_history_search,False,0.6004987422968292,0.20439886836206358,0.39898937233664905,ensemble,False,True,disagreement
RX details for claim 220992183436835 sequence 002.,rx_details,rx_details,True,cap_api,cap_api,True,0.9985138571080268,0.5351953368979008,0.9980268164501438,ensemble,True,False,pass
Drug strength and dosage form on this claim.,rx_details,rx_details,True,cap_api,cap_api,True,0.9996163024547043,0.6708463060949466,0.9994914690986638,ensemble,True,False,pass
Quantity dispensed and days supply for this prescription.,rx_details,rx_details,True,cap_api,cap_api,True,0.9999066493295612,0.7810480147648928,0.9998806303197619,ensemble,True,False,pass
What is the fill count for claim 230381673488000?,rx_details,pa_claim_usage,False,cap_api,override_domain,False,0.7036242100341438,0.24154691767672265,0.5018442028996062,ensemble,False,False,disagreement
Tell me the prescription specifics — RX number and quantity.,rx_details,rx_details,True,cap_api,cap_api,True,0.999932529724136,0.7702976439092071,0.9999266988150592,ensemble,True,False,pass
Is this a new fill or a continuation?,rx_details,claim_status,False,cap_api,cap_api,True,0.5799800995272789,0.148768299465441,0.5106017696546914,ensemble,False,True,disagreement
Was claim 201503823714118 sequence 001 reversed?,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9998589671320068,0.7428799422464236,0.9998238540656081,ensemble,True,False,pass
Show me the R&R details for this claim.,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9977536915351362,0.48368460598870266,0.9973235417211407,ensemble,True,False,pass
Is there a reversal or resubmission on claim 242905816136000?,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9988225916334699,0.5651910249175364,0.9984800952134774,ensemble,True,False,pass
Has this claim been adjusted or reversed?,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9987349708594926,0.5763989970470111,0.9984186668710632,ensemble,True,False,pass
Reversal and rebill information for this fill.,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9922119760209108,0.3632223706039898,0.9913806335616764,ensemble,True,False,pass
Claim 220133725669000 sequence 001: was it reversed and resubmitted?,reversal_info,reversal_info,True,cap_api,cap_api,True,0.997850906997367,0.5539563082637049,0.996463050509285,ensemble,True,False,pass
Any manual adjustments or R&R activity on this claim?,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9972707480318512,0.45746500040467175,0.9969223002820984,ensemble,True,False,pass
Did the pharmacy reverse and rebill this prescription?,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9903356585778369,0.34625021368677095,0.9887867700603565,ensemble,True,False,pass
Show reversal history for claim 150692388845000.,reversal_info,reversal_info,True,cap_api,cap_api,True,0.9986061840548037,0.579380488957669,0.9980415148356063,ensemble,True,False,pass
Tell me if there was a claim reversal on this transaction.,reversal_info,reversal_info,True,cap_api,cap_api,True,0.991257759780518,0.3530273945377453,0.9901541609609291,ensemble,True,False,pass
Is there coordination of benefits on claim 220992183436835 sequence 002?,cob_info,cob_info,True,cap_api,cap_api,True,0.9969193363526087,0.4471734541993123,0.9963224366398289,ensemble,True,False,pass
Show COB details for this claim.,cob_info,cob_info,True,cap_api,cap_api,True,0.9998286563350951,0.7339079773393822,0.9997948365673675,ensemble,True,False,pass
Was a secondary payer involved in this claim?,cob_info,cob_info,True,cap_api,cap_api,True,0.9997574266700253,0.7309863228035811,0.999612962964998,ensemble,True,False,pass
Coordination of benefits summary for claim 201752592251000.,cob_info,cob_info,True,cap_api,cap_api,True,0.99916230737046,0.5734942401193626,0.9990785499160274,ensemble,True,False,pass
Did another insurance pay before this plan?,cob_info,cob_info,True,cap_api,cap_api,True,0.9997588231428698,0.6852157586937234,0.99972258754524,ensemble,True,False,pass
Other payer information on this fill.,cob_info,cob_info,True,cap_api,cap_api,True,0.9997041688849707,0.6644831700710251,0.9996710034014197,ensemble,True,False,pass
COB breakdown for claim 211263773300000 sequence 004.,cob_info,cob_info,True,cap_api,cap_api,True,0.9987146043450376,0.5286369746892052,0.9985272328631682,ensemble,True,False,pass
Is this member dual-covered and how did COB apply to this claim?,cob_info,cob_info,True,cap_api,cap_api,True,0.9962523683714641,0.4648672759233618,0.9943546602642187,ensemble,True,False,pass
What was the other insurance payment on this prescription?,cob_info,cob_info,True,cap_api,cap_api,True,0.7712445430229107,0.25969643441875145,0.69146193470775,ensemble,False,False,disagreement
Show me secondary coverage details applied to this specific claim.,cob_info,cob_info,True,cap_api,cap_api,True,0.8861404139853591,0.33356936045347985,0.7779831064007289,ensemble,True,False,pass
Are there generic alternatives available for the drug on this claim?,generic_availability,generic_availability,True,cap_api,cap_api,True,0.8997057895003087,0.7674589930700846,0.8994941611399762,ensemble,True,True,pass
Is a generic substitute available for this medication?,generic_availability,generic_availability,True,cap_api,cap_api,True,0.899819093766707,0.766663348022141,0.8996878777864236,ensemble,True,True,pass
Show therapeutic equivalents for claim 132435151040074.,generic_availability,generic_availability,True,cap_api,cap_api,True,0.8841196984035183,0.4294863438416581,0.8705776401485421,ensemble,True,True,pass
Can this prescription be switched to a generic version?,generic_availability,generic_availability,True,cap_api,cap_api,True,0.8997167927254497,0.7329805918887118,0.8995173743915293,ensemble,True,True,pass
Generic substitution options for this drug.,generic_availability,generic_availability,True,cap_api,cap_api,True,0.8987747364634615,0.6957950906339208,0.8976469426753022,ensemble,True,True,pass
Does a formulary alternative exist for this medication?,generic_availability,generic_availability,True,cap_api,cap_api,True,0.9994563567357784,0.6463218159328203,0.9991646382764897,ensemble,True,False,pass
What generic equivalents are on the formulary?,generic_availability,generic_availability,True,cap_api,cap_api,True,0.8847090992757597,0.39148051737524875,0.877752094261838,ensemble,True,True,pass
Is there a cheaper generic version of this drug available?,generic_availability,generic_availability,True,cap_api,cap_api,True,0.8987141620385075,0.5428747520017996,0.8982794714301782,ensemble,True,True,pass
Therapeutic alternatives for the medication on this fill.,generic_availability,generic_availability,True,cap_api,cap_api,True,0.9979793769858593,0.48503095337639474,0.9976032731992923,ensemble,True,False,pass
Check if a generic is available for this NDC.,generic_availability,generic_availability,True,cap_api,cap_api,True,0.9889361892881597,0.44042673535972165,0.9842756130930135,ensemble,True,False,pass
What is the dispense as written code on claim 132435151040074?,daw_info,daw_info,True,cap_api,cap_api,True,0.9976510726098354,0.47517114415152395,0.9972880184795238,ensemble,True,False,pass
Is this prescription DAW or was substitution allowed?,daw_info,daw_info,True,cap_api,cap_api,True,0.9998434594615371,0.7255935339455938,0.9998032061282028,ensemble,True,False,pass
Show the DAW indicator for this fill.,daw_info,daw_info,True,cap_api,cap_api,True,0.9998240157251888,0.7035259038306346,0.9998012336618073,ensemble,True,False,pass
Was the brand name required by the prescriber on this claim?,daw_info,daw_info,True,cap_api,cap_api,True,0.9933823823871331,0.503576868429293,0.9886261370718356,ensemble,True,False,pass
DAW code for claim 220133725669000 sequence 001.,daw_info,daw_info,True,cap_api,cap_api,True,0.9986317215973527,0.5304094283640626,0.9982809962838033,ensemble,True,False,pass
Did the doctor mandate brand on this prescription?,daw_info,daw_info,True,cap_api,cap_api,True,0.9229389099572547,0.32629372329594714,0.8552309378479449,ensemble,True,False,pass
What DAW was applied — was generic substitution blocked?,daw_info,daw_info,True,cap_api,cap_api,True,0.9968204730749671,0.4857063516142188,0.9958473584619413,ensemble,True,False,pass
Tell me the substitution status for this claim.,daw_info,daw_info,True,cap_api,cap_api,True,0.9717675309037875,0.39598092512589145,0.9469159782382554,ensemble,True,False,pass
Check the dispense as written indicator on claim 201503823714118.,daw_info,daw_info,True,cap_api,cap_api,True,0.9874546046410476,0.3368759371109325,0.9849471418141195,ensemble,True,False,pass
Is this a DAW 1 or DAW 0 claim?,daw_info,daw_info,True,cap_api,cap_api,True,0.9999318871205223,0.7746318167520805,0.9999247983668167,ensemble,True,False,pass
DAW?,daw_info,daw_info,True,cap_api,cap_api,True,0.995238698191102,0.5064505623337812,0.9925640313621698,ensemble,True,False,pass
