prompt,expected_domain,expected_intent
When was MUGARD taken last for the member with claim 201533994612000?,claim_history_search,DrugLast
Show the latest claim for MUGARD for the member with claim 201533994612000 including status and fill details.,claim_history_search,DrugLast
Give me all claims for the member with claim 201533994612000 for MUGARD.,claim_history_search,DrugLast
Give me claims for the member with claim 201533994612000 for the last 2 months.,claim_history_search,date_range_claims
Give me claims for the member with claim 201533994612000 in the last 90 days for MUGARD.,claim_history_search,date_range_claims
Are there any MUGARD claims rejected for the member with claim 201533994612000?,claim_history_search,Status
Any claim that was paid using Prior Authorization for MUGARD for the member with claim 201533994612000 in the last 30 days?,claim_history_search,PriorAuth
Are there any claims with a transition fill (TF) tag this year for the member with claim 201533994612000?,claim_history_search,Status
What was the last fill date for MUGARD for the member with claim 201533994612000?,claim_history_search,DrugLast
Was the MUGARD claim on 03/15/2024 paid or rejected for the member with claim 201533994612000?,claim_history_search,Status
Did the member with claim 201533994612000 get their MUGARD refill this month?,claim_history_search,Refills
How much did the member with claim 201533994612000 pay out of pocket for MUGARD on the last fill?,claim_history_search,Pricing
What has the member with claim 201533994612000 spent on prescriptions year-to-date?,claim_history_search,Pricing
Show me all claims having deductible or out of pocket amount greater than zero for the member with claim 201533994612000.,claim_history_search,Pricing
Show me all claims having a TrOOP amount for the member with claim 201533994612000.,claim_history_search,Pricing
Show me all rejected claims with reject code 75 for the member with claim 201533994612000 in the last 6 months.,claim_history_search,RejectCode
Was another claim ever submitted for the member with claim 201533994612000 after this rejection?,claim_history_search,Status
Identify claims rejected for refill too soon or quantity limits or eligibility issues for the member with claim 201533994612000.,claim_history_search,RejectCode
Summarize the claim history for the member with claim 201533994612000 for the last 90 days including total claims and rejected claims and reasons and PA-related claims and top medicines.,claim_history_search,date_range_claims
Claim 201533994612000 sequence 004 overall status.,cap_api,claim_status
Who wrote this script on claim 201533994612000 seq 004?,cap_api,prescriber_info
What fill number is this  is it original or a refill on claim 201533994612000 seq 004?,cap_api,rx_details
What is the fill count for claim 201533994612000 seq 004?,cap_api,rx_details
Is this a new fill or a continuation on claim 201533994612000 seq 004?,cap_api,rx_details
Was claim 201533994612000 seq 004 covered under Medicaid managed care?,cap_api,rx_details
What is the fulfillment channel ” retail or mail on claim 201533994612000 seq 004?,cap_api,mail_order_info
Is there a low income subsidy applied to the pricing on claim 201533994612000 seq 004?,cap_api,medicare_part_d
What timestamps are on record for claim 201533994612000 seq 004's processing?,cap_api,audit_info
Coverage tier and eligibility details for claim 201533994612000 seq 004 beneficiary.,cap_api,beneficiary_info
How close is this member to reaching the coverage gap on claim 201533994612000 seq 004?,cap_api,beneficiary_info
What is the total year-to-date spend for the member with claim 201533994612000?,claim_history_search,Pricing
Were any claims flagged for therapeutic duplication on claim 201533994612000 seq 004?,cap_api,drug_interaction_info
Search claims by pharmacy response code number for the member with claim 201533994612000.,claim_history_search,Settlement
Which pharmacy has dispensed the most claims for the member with claim 201533994612000?,claim_history_search,Pharmacy
Which doctor wrote the most prescriptions for the member with claim 201533994612000?,claim_history_search,Prescriber
Which claims are currently reversed for the member with claim 201533994612000?,claim_history_search,Status
Show all claims that hit reject 79 for the member with claim 201533994612000.,claim_history_search,RejectCode
Find this claim: 201533994612000.,claim_history_search,ClaimNum
Look up 201533994612000.,claim_history_search,ClaimNum
Search for claim 201533994612000 in the history.,claim_history_search,ClaimNum
Hi â€” I need some help with a claim.,general,help
What kind of questions can I ask this system?,general,help
How do I use this tool to look up claims?,general,help
I need guidance on how to query member information.,general,help
Can you walk me through the claim lookup process?,general,help
What types of queries does this system support?,general,help
How does this tool work?,general,help
What are the available commands or categories?,general,help
Help me understand what I can do here.,general,help
Calculate 15% tip on a $42 bill.,general,out_of_scope
Give me a quick rundown of what happened to claim 201533994612000 seq 004.,cap_api,claim_status
Can you give me a summary of all claims on file for claim 201533994612000 seq 004 member?,cap_api,multi_claim_summary
I need a complete overview of every claim submitted under this member ID — claim 201533994612000 seq 004.,cap_api,multi_claim_summary
Show me all the claims this member has had processed — claim 201533994612000 seq 004.,cap_api,multi_claim_summary
Full claims history overview for claim 201533994612000 seq 004 member please.,cap_api,multi_claim_summary
How many total claims does this member have and what are they on claim 201533994612000 seq 004?,cap_api,multi_claim_summary
List every claim associated with the member with claim 201533994612000 seq 004.,cap_api,multi_claim_summary
Was the pharmacy paid MAC or AWP on claim 201533994612000 seq 004?,cap_api,reimbursement_info
What NCPDP rejection codes were returned on claim 201533994612000 seq 004?,cap_api,rejection_reasons
How many days supply was dispensed on claim 201533994612000 seq 004?,cap_api,rx_details
Drug strength and dosage form on claim 201533994612000 seq 004.,cap_api,drug_info
Did another insurance pay before this plan on claim 201533994612000 seq 004?,cap_api,cob_info
Does a formulary alternative exist for claim 201533994612000 seq 004 medication?,cap_api,generic_availability
