Prompt,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match,confidence,raw_confidence,margin,source,agreement,is_confusion_pair,gate_reason
What is the current adjudication outcome for claim 242905816136000 sequence 003?,claim_status,claim_status,True,cap_api,cap_api,True,0.5153552566756487,0.644194070900894,0.48920250217116235,ensemble,True,True,confusion_prone
Tell me whether claim 150692388845000 was paid or denied.,claim_status,rejection_reasons,False,cap_api,cap_api,True,0.22204227797386134,0.32653276175432816,0.16844905787312725,ensemble,False,True,disagreement
Has this claim been fully processed yet?,claim_status,claim_status,True,cap_api,cap_api,True,0.47040744069389245,0.47040744073475876,0.43511367426917563,ensemble,True,False,confusion_prone
Claim 230381673488000 sequence 001 overall status.,claim_status,multi_claim_summary,False,cap_api,cap_api,True,0.05026777591661361,0.09139595621915896,0.006272294499202741,ensemble,False,False,disagreement
Give me a quick rundown of what happened to this claim.,claim_status,claim_status,True,cap_api,cap_api,True,0.4396186378031326,0.4396186378412585,0.41173419877160017,ensemble,True,False,confusion_prone
Paid or rejected? Claim 211263773300000 sequence 004.,claim_status,rejection_reasons,False,cap_api,cap_api,True,0.14937901696851238,0.21967502497224564,0.020969175234657994,ensemble,False,True,disagreement
I just need to know if this claim went through.,claim_status,claim_status,True,cap_api,cap_api,True,0.28475645000980904,0.3559455625429404,0.25649077496741984,ensemble,True,True,pass
Pull the adjudication result for claim 220992183436835 sequence 002.,claim_status,claim_status,True,cap_api,cap_api,True,0.26588544969409617,0.26588544971676,0.17883001223743034,ensemble,True,False,pass
What is the final disposition on this prescription claim?,claim_status,claim_status,True,cap_api,cap_api,True,0.1830323704786974,0.21533220058133812,0.10798719209692098,ensemble,False,False,disagreement
Status check on claim 201752592251000 sequence 001 please.,claim_status,claim_status,True,cap_api,cap_api,True,0.43204855537722153,0.5400606942685926,0.40533056191239236,ensemble,True,True,confusion_prone
Can you give me a summary of all claims on file for this member?,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.13455335392368334,0.15829806345271602,0.012254824904955481,ensemble,False,False,disagreement
I need a complete overview of every claim submitted under this member ID.,multi_claim_summary,Status,False,cap_api,claim_history_search,False,0.16068992146900743,0.18904696644995153,0.026416776106398834,ensemble,False,False,disagreement
Show me all the claims this member has had processed.,multi_claim_summary,Status,False,cap_api,claim_history_search,False,0.1036518243124392,0.14807403474423458,0.021995042041284753,ensemble,False,False,disagreement
Full claims history overview for this member please.,multi_claim_summary,date_range_claims,False,cap_api,claim_history_search,False,0.17228365148681163,0.20268664882505275,0.09482302839588813,ensemble,False,False,disagreement
Pull up a consolidated summary of this member's entire claims list.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.39184568141174153,0.3918456814456158,0.34089951901806276,ensemble,True,False,pass
How many total claims does this member have and what are they?,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.13433399971619914,0.15803999967918217,0.010475485895033365,ensemble,False,False,disagreement
List every claim associated with member 44781239.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.15651306246311475,0.18413301467787582,0.09887906364041714,ensemble,False,False,disagreement
Multi-claim summary for this patient.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.3280211964413474,0.3280211964695413,0.2948313568141807,ensemble,True,False,pass
Aggregate all claims for this individual and show me the highlights.,multi_claim_summary,pa_summary,False,cap_api,override_domain,False,0.13737590191326313,0.196251288463985,0.05929000836668861,ensemble,False,False,disagreement
I want to see the big picture on all claims for this member.,multi_claim_summary,multi_claim_summary,True,cap_api,cap_api,True,0.3281830803224156,0.3281830803506239,0.2663920766310446,ensemble,True,False,pass
