Prompt,Intent,domain
What is the approval status of claim 132435151040074 sequence 001?,approval_info,benefits_api
Is claim 180571470939000 sequence 001 approved or denied?,rejection_reasons,cap_api
Approval summary for claim 201503823714118 sequence 001.,approval_info,benefits_api
Check the approval reason for claim 201752592251000 sequence 001.,approval_info,benefits_api
"Was claim 201990819198000 sequence 001 approved? If so, what were the approval messages?",approval_info,benefits_api
List the plan overrides that led to approval of claim 211263773300000 sequence 004.,approval_info,benefits_api
What BPG configuration was used to approve claim 220133725669000 sequence 001?,approval_info,benefits_api
Claim 220992183436835 sequence 002 approval details.,approval_info,benefits_api
Did claim 221172865083001 sequence 001 pass adjudication? Show the approval logic.,approval_info,benefits_api
What override codes were applied to approve claim 221663541811000 sequence 001?,rejection_reasons,cap_api
Approval status and messages for claim 222492018072002 sequence 001.,approval_info,benefits_api
Explain the approval decision for claim 222492117457002 sequence 001.,approval_info,benefits_api
What plan options led to approval on claim 230624075311000 sequence 002?,approval_info,benefits_api
Lookup approval information for claim 231865207544000 sequence 001.,approval_info,benefits_api
Show the approval codes associated with claim 231912348363000 sequence 002.,approval_info,benefits_api
Claim 240051073172000 sequence 001: approval or rejection?,rejection_reasons,cap_api
What were the accumulation overrides on approved claim 240063508485000 sequence 001?,beneficiary_info,benefits_api
Adjudication outcome and approval details for claim 240063519295000 sequence 001.,claim_status,cap_api
Pull the approval summary and override details for claim 240094966940000 sequence 001.,approval_info,benefits_api
What is the transition fill status of claim 130041467416065 sequence 001?,approval_info,benefits_api
Is claim 132435151040074 sequence 001 a transition fill?,approval_info,benefits_api
Transition fill details for claim 150692388845000 sequence 001.,approval_info,benefits_api
Was a TF applied to claim 160060096136030 sequence 001?,approval_info,benefits_api
Check if transition fill was triggered for claim 180571470939000 sequence 001.,approval_info,benefits_api
What type of transition fill was applied to claim 191406379285000 sequence 001?,approval_info,benefits_api
Claim 201503823714118 sequence 001 TF eligibility status.,approval_info,benefits_api
Transition fill configuration for claim 201752592251000 sequence 001.,approval_info,benefits_api
Did this member qualify for transition fill on claim 201990819198000 sequence 001?,approval_info,benefits_api
TF override details for claim 211263773300000 sequence 004.,approval_info,benefits_api
What plan configuration overrides affected claim 220133725669000 sequence 001?,approval_info,benefits_api
Adjudication pathway for claim 220992183436835 sequence 002.,approval_info,benefits_api
Transition fill approval information for claim 221172865083001 sequence 001.,approval_info,benefits_api
Was claim 221663541811000 sequence 001 processed under a TF exception?,approval_info,benefits_api
Claim 221775171449000 sequence 003: transition fill type and eligibility.,approval_info,benefits_api
Show TF status for claim 222492018072002 sequence 001.,approval_info,benefits_api
List all plan overrides on claim 222492117457002 sequence 001.,approval_info,benefits_api
Check transition fill override details for claim 230381673488000 sequence 001.,approval_info,benefits_api
TF type applied to claim 230624075311000 sequence 002.,approval_info,benefits_api
Plan configuration that affected TF on claim 231181462825000 sequence 001.,approval_info,benefits_api
What is the audit trail for claim 130041467416065 sequence 001?,audit_info,benefits_api
When was claim 132435151040074 sequence 001 first created?,audit_info,benefits_api
Audit log for claim 150692388845000 sequence 001.,audit_info,benefits_api
Show the change history of claim 160060096136030 sequence 001.,audit_info,benefits_api
What modifications were made to claim 180571470939000 sequence 001?,reversal_info,cap_api
When was claim 191406379285000 sequence 001 last updated?,claim_status,cap_api
Claim 201503823714118 sequence 001 add date and change date.,fill_date_info,claim_history_search
Who last modified claim 201752592251000 sequence 001 and when?,audit_info,benefits_api
List all audit entries for claim 201990819198000 sequence 001.,audit_info,benefits_api
What is the creation timestamp of claim 211263773300000 sequence 004?,audit_info,benefits_api
Modification record for claim 220133725669000 sequence 001.,audit_info,benefits_api
Claim 220992183436835 sequence 002: edit history and change log.,audit_info,benefits_api
When was claim 221172865083001 sequence 001 added to the system?,audit_info,benefits_api
Full audit report for claim 221663541811000 sequence 001.,audit_info,benefits_api
What is the audit add time for claim 221775171449000 sequence 003?,audit_info,benefits_api
History of changes on claim 222492018072002 sequence 001.,audit_info,benefits_api
Claim 222492117457002 sequence 001 audit summary.,audit_info,benefits_api
Audit information including add date and change date for claim 230381673488000 sequence 001.,audit_info,benefits_api
Show the modification details for claim 230624075311000 sequence 002.,audit_info,benefits_api
Claim audit record for 231181462825000 sequence 001.,audit_info,benefits_api
What is the member's benefit phase for claim 130041467416065 sequence 001?,beneficiary_info,benefits_api
Member coverage details for claim 150692388845000 sequence 001.,beneficiary_info,benefits_api
Benefit type and coverage tier for claim 180571470939000 sequence 001.,beneficiary_info,benefits_api
Is the member eligible for benefits on claim 191406379285000 sequence 001?,beneficiary_info,benefits_api
What benefit phase is the member in for claim 201503823714118 sequence 001?,beneficiary_info,benefits_api
Member plan details for claim 201752592251000 sequence 001.,beneficiary_info,benefits_api
Accumulation status for the member on claim 201990819198000 sequence 001.,beneficiary_info,benefits_api
Does medical dollar accumulation apply to claim 211263773300000 sequence 004?,beneficiary_info,benefits_api
Member's coverage classification for claim 220992183436835 sequence 002.,beneficiary_info,benefits_api
Claim 221663541811000 sequence 001: member's insurance coverage type.,beneficiary_info,benefits_api
Member eligibility information for claim 222492018072002 sequence 001.,beneficiary_info,benefits_api
What plan is the member enrolled in for claim 222492117457002 sequence 001?,beneficiary_info,benefits_api
Benefit plan configuration for claim 230381673488000 sequence 001.,beneficiary_info,benefits_api
Member accumulation rules for claim 230624075311000 sequence 002.,beneficiary_info,benefits_api
Coverage details and benefit phase for claim 231181462825000 sequence 001.,beneficiary_info,benefits_api
What is the current status of claim 130041467416065 sequence 001?,claim_status,cap_api
Claim summary for 132435151040074 sequence 001.,claim_status,cap_api
Full details of claim 150692388845000 sequence 001.,claim_status,cap_api
What happened on claim 160060096136030 sequence 001?,claim_status,cap_api
Processing status of claim 180571470939000 sequence 001.,claim_status,cap_api
Adjudication outcome for claim 191406379285000 sequence 001.,claim_status,cap_api
Complete claim record for 201503823714118 sequence 001.,claim_status,cap_api
Breakdown of claim 201752592251000 sequence 001.,claim_status,cap_api
Status update for claim 201990819198000 sequence 001.,claim_status,cap_api
Comprehensive summary of claim 211263773300000 sequence 004.,approval_info,benefits_api
"Is claim 220133725669000 sequence 001 paid, rejected, or pending?",claim_status,cap_api
Claim 220992183436835 sequence 002 status and processing details.,claim_status,cap_api
Claim 221663541811000 sequence 001 overview.,claim_status,cap_api
Show the full record for claim 221775171449000 sequence 003.,claim_status,cap_api
Adjudication details for claim 222492018072002 sequence 001.,claim_status,cap_api
Claim 222492117457002 sequence 001: status and outcome.,claim_status,cap_api
Quick status check on claim 230381673488000 sequence 001.,claim_status,cap_api
What was the result of processing claim 230624075311000 sequence 002?,claim_status,cap_api
Claim details and status for 231181462825000 sequence 001.,claim_status,cap_api
Does claim 132435151040074 sequence 001 have coordination of benefits?,cob_info,cap_api
COB summary for claim 150692388845000 sequence 001.,cob_info,cap_api
What other insurance information exists for claim 211263773300000 sequence 004?,cob_info,cap_api
Is there a secondary payer on claim 242055403386000 sequence 001?,cob_info,cap_api
Coordination of benefits details for claim 242831720377166 sequence 002.,cob_info,cap_api
COB pricing breakdown for claim 242831738080166 sequence 001.,cob_info,cap_api
How did other insurance affect claim 243102333796000 sequence 003?,cob_info,cap_api
Secondary insurance details for claim 243122443413000 sequence 001.,cob_info,cap_api
COB calculation for claim 252611736720000 sequence 002.,cob_info,cap_api
Coordination details for claim 252952886196000 sequence 001.,cob_info,cap_api
Other payer information for claim 253091241600000 sequence 001.,cob_info,cap_api
Dual coverage details for claim 253136857840000 sequence 001.,cob_info,cap_api
COB setup for claim 132435151040074 sequence 001.,cob_info,cap_api
Secondary payer information for claim 150692388845000 sequence 001.,cob_info,cap_api
COB report for claim 211263773300000 sequence 004.,cob_info,cap_api
Impact of other insurance on claim 242055403386000 sequence 001.,cob_info,cap_api
COB adjudication details for claim 242831720377166 sequence 002.,claim_status,cap_api
Primary and secondary insurance breakdown for claim 242831738080166 sequence 001.,cob_info,cap_api
COB configuration for claim 243102333796000 sequence 003.,cob_info,cap_api
Coordination pricing summary for claim 243122443413000 sequence 001.,pricing_info,cap_api
Is claim 130041467416065 sequence 001 for a compound medication?,compound_info,claim_history_search
Compound details for claim 132435151040074 sequence 001.,compound_info,claim_history_search
What is the compound code on claim 150692388845000 sequence 001?,compound_info,claim_history_search
Ingredient breakdown for compound claim 160060096136030 sequence 001.,compound_info,claim_history_search
MIC information for claim 180571470939000 sequence 001.,compound_info,claim_history_search
Compound ingredient costs for claim 191406379285000 sequence 001.,compound_info,claim_history_search
Is this a compounded prescription? Claim 201503823714118 sequence 001.,compound_info,claim_history_search
Funded and unfunded costs for compound claim 201752592251000 sequence 001.,compound_info,claim_history_search
Ingredient list for compound claim 201990819198000 sequence 001.,compound_info,claim_history_search
Compound drug details for claim 211263773300000 sequence 004.,compound_info,claim_history_search
MIC cost breakdown for claim 220133725669000 sequence 001.,compound_info,claim_history_search
Individual ingredient pricing for claim 220992183436835 sequence 002.,compound_info,claim_history_search
Compound formulation details for claim 221172865083001 sequence 001.,compound_info,claim_history_search
Compound medication summary for claim 221663541811000 sequence 001.,compound_info,claim_history_search
MIC details and ingredient breakdown for claim 221775171449000 sequence 003.,compound_info,claim_history_search
Compound pricing information for claim 222492018072002 sequence 001.,compound_info,claim_history_search
Ingredient cost report for claim 222492117457002 sequence 001.,pricing_info,cap_api
Compound claim details for 230624075311000 sequence 002.,compound_info,claim_history_search
MIC summary for claim 231181462825000 sequence 001.,compound_info,claim_history_search
Claim history for the member on claim 132435151040074 sequence 001.,audit_info,benefits_api
Member's claim history for the drug on claim 220133725669000 sequence 001.,date_range_claims,claim_history_search
Claim list for this year related to 221775171449000 sequence 003.,date_range_claims,claim_history_search
Claim history for this member and drug for 222492117457002 sequence 001.,date_range_claims,claim_history_search
Member prescription history for 231181462825000 sequence 001.,date_range_claims,claim_history_search
Brand vs generic information for claim 191406379285000 sequence 001.,drug_info,claim_history_search
What drug was dispensed on claim 130041467416065 sequence 001?,drug_info,claim_history_search
Drug name and NDC for claim 132435151040074 sequence 001.,drug_info,claim_history_search
Medication details for claim 150692388845000 sequence 001.,drug_info,claim_history_search
Formulary status of the drug on claim 160060096136030 sequence 001.,drug_info,claim_history_search
What is the GPI number for claim 180571470939000 sequence 001?,drug_info,claim_history_search
Drug classification for claim 191406379285000 sequence 001.,drug_info,claim_history_search
Drug setup used in RxClaim for claim 201503823714118 sequence 001.,drug_info,claim_history_search
Drug category details for claim 201752592251000 sequence 001.,drug_info,claim_history_search
Formulary position for the medication on claim 201990819198000 sequence 001.,drug_info,claim_history_search
Drug type and classification for claim 211263773300000 sequence 004.,drug_info,claim_history_search
GPI and therapeutic class for claim 220133725669000 sequence 001.,drug_info,claim_history_search
Drug status assigned by RxClaim for claim 220992183436835 sequence 002.,drug_info,claim_history_search
Medication tier information for claim 221172865083001 sequence 001.,drug_info,claim_history_search
Drug configuration from claim 221663541811000 sequence 001.,drug_info,claim_history_search
Formulary report for the drug on claim 221775171449000 sequence 003.,drug_info,claim_history_search
Drug classification details for claim 222492018072002 sequence 001.,drug_info,claim_history_search
Medication status for claim 222492117457002 sequence 001.,drug_info,claim_history_search
Drug tier and formulary placement for claim 230381673488000 sequence 001.,drug_info,claim_history_search
Product name and product ID for claim 230624075311000 sequence 002.,rx_details,cap_api
What medication was prescribed on claim 231181462825000 sequence 001?,prescriber_info,cap_api
