text,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match,confidence,raw_confidence,margin,source,agreement,is_confusion_pair,gate_reason
When was MUGARD taken last for the member with claim 201533994612000?,DrugLast,DrugLast,True,claim_history_search,claim_history_search,True,0.8015629936519979,0.205204216890913,0.758788928046758,ensemble,False,False,disagreement
Show the latest claim for MUGARD for the member with claim 201533994612000 including status and fill details.,DrugLast,DrugLast,True,claim_history_search,claim_history_search,True,0.7586204712160219,0.207380922732055,0.6646289428471324,ensemble,False,False,disagreement
Give me all claims for the member with claim 201533994612000 for MUGARD.,DrugLast,claim_status,False,claim_history_search,cap_api,False,0.1406195575664215,0.060654767051025016,0.00879602919991743,ensemble,False,False,disagreement
Give me claims for the member with claim 201533994612000 for the last 2 months.,date_range_claims,date_range_claims,True,claim_history_search,claim_history_search,True,0.6690378249649868,0.18216276336797457,0.5354801377924935,ensemble,False,False,disagreement
Give me claims for the member with claim 201533994612000 in the last 90 days for MUGARD.,date_range_claims,date_range_claims,True,claim_history_search,claim_history_search,True,0.26241665777922585,0.08487993280136263,0.06601445851153709,ensemble,False,False,disagreement
Are there any MUGARD claims rejected for the member with claim 201533994612000?,Status,RejectCode,False,claim_history_search,claim_history_search,True,0.5884640841170095,0.19175701232623213,0.4780414672889416,ensemble,False,True,disagreement
Any claim that was paid using Prior Authorization for MUGARD for the member with claim 201533994612000 in the last 30 days?,PriorAuth,PriorAuth,True,claim_history_search,claim_history_search,True,0.875733419967521,0.301133274029609,0.8720992870651211,ensemble,True,True,pass
Are there any claims with a transition fill (TF) tag this year for the member with claim 201533994612000?,Status,Status,True,claim_history_search,claim_history_search,True,0.8282838113391482,0.3811718500710487,0.7412381557586308,ensemble,False,False,disagreement
What was the last fill date for MUGARD for the member with claim 201533994612000?,DrugLast,DrugLast,True,claim_history_search,claim_history_search,True,0.8244609228672463,0.24780552907042308,0.7920974400768356,ensemble,True,True,pass
Was the MUGARD claim on 03/15/2024 paid or rejected for the member with claim 201533994612000?,Status,claim_status,False,claim_history_search,cap_api,False,0.3599397477244723,0.11636692995336045,0.03933111914072322,ensemble,False,False,disagreement
Did the member with claim 201533994612000 get their MUGARD refill this month?,Refills,Refills,True,claim_history_search,claim_history_search,True,0.9724851858623093,0.29411542730630436,0.9692772170883714,ensemble,True,False,pass
How much did the member with claim 201533994612000 pay out of pocket for MUGARD on the last fill?,Pricing,Pricing,True,claim_history_search,claim_history_search,True,0.9344690813225586,0.27297798706114756,0.9056668723759677,ensemble,True,False,pass
What has the member with claim 201533994612000 spent on prescriptions year-to-date?,Pricing,Pricing,True,claim_history_search,claim_history_search,True,0.9937044191594142,0.5361935432448538,0.9894477134377695,ensemble,True,False,pass
Show me all claims having deductible or out of pocket amount greater than zero for the member with claim 201533994612000.,Pricing,Pricing,True,claim_history_search,claim_history_search,True,0.9977086603122054,0.5998514223628622,0.9970466651468347,ensemble,True,False,pass
Show me all claims having a TrOOP amount for the member with claim 201533994612000.,Pricing,Pricing,True,claim_history_search,claim_history_search,True,0.9972941529716812,0.527216561484072,0.9968873828043153,ensemble,True,False,pass
Show me all rejected claims with reject code 75 for the member with claim 201533994612000 in the last 6 months.,RejectCode,RejectCode,True,claim_history_search,claim_history_search,True,0.8983571612424159,0.617413828235662,0.8978154900610059,ensemble,True,True,pass
Was another claim ever submitted for the member with claim 201533994612000 after this rejection?,Status,Status,True,claim_history_search,claim_history_search,True,0.8307954387270738,0.33040209451823366,0.7881089711716935,ensemble,True,True,pass
Identify claims rejected for refill too soon or quantity limits or eligibility issues for the member with claim 201533994612000.,RejectCode,RejectCode,True,claim_history_search,claim_history_search,True,0.9846546912845202,0.5151841581751243,0.9713960163603633,ensemble,True,False,pass
Summarize the claim history for the member with claim 201533994612000 for the last 90 days including total claims and rejected claims and reasons and PA-related claims and top medicines.,date_range_claims,date_range_claims,True,claim_history_search,claim_history_search,True,0.43894557676129925,0.1438742016359021,0.27138306192209577,ensemble,False,False,disagreement
"Provide the approval summary for claim 243122443413000 sequence 001, including any plan overrides triggered during adjudication.",approval_info,approval_info,True,cap_api,cap_api,True,0.8970326102696183,0.5918899507541011,0.895941093958871,ensemble,True,True,pass
What transition fill type was applied when processing claim 198734561209000 seq 002?,approval_info,approval_info,True,cap_api,cap_api,True,0.9981951264728177,0.5842744622202806,0.9977978323902106,ensemble,True,False,pass
Show me the BPG configuration used to adjudicate claim 312045678934000 sequence 001.,approval_info,approval_info,True,cap_api,cap_api,True,0.8709004494207637,0.31482099094919636,0.8619378638386758,ensemble,True,True,pass
TF status for claim 267891234500000 seq 003 â€” was a transition fill override applied?,approval_info,approval_info,True,cap_api,cap_api,True,0.9976820392065372,0.6045547931933806,0.996618753244554,ensemble,True,False,pass
I need to know if Smart PA or Member PA was applied during approval of claim 201533994612000 sequence 001.,approval_info,prior_auth_info,False,cap_api,cap_api,True,0.6140410235599838,0.3577444088620359,0.40455618638108826,ensemble,False,True,disagreement
Retrieve the adjudication pathway and plan overrides for claim 389012456723000 seq 001.,approval_info,approval_info,True,cap_api,cap_api,True,0.8104329586531335,0.39684172097883214,0.8014912853878304,ensemble,False,True,disagreement
"Generate a TF summary for claim 456712309845000 sequence 002, specifically the transition fill type and whether accumulations were considered.",approval_info,approval_info,True,cap_api,cap_api,True,0.913124058032289,0.4661174900952486,0.9103641305533519,ensemble,False,False,disagreement
Did claim 521098376412000 seq 001 go through a Smart PA approval? Show me the override logic.,approval_info,prior_auth_info,False,cap_api,cap_api,True,0.6645283823509608,0.24842799785026481,0.5580586567554607,ensemble,False,False,disagreement
What plan options and BPG config were active when claim 634521890370000 seq 001 was processed?,approval_info,approval_info,True,cap_api,cap_api,True,0.9935033109136536,0.4617772523654561,0.9913176180184614,ensemble,True,False,pass
Fetch the transition fill details and approval info for claim 712340985621000 sequence 001.,approval_info,approval_info,True,cap_api,cap_api,True,0.8891155279344254,0.5029142866350846,0.8801442343271874,ensemble,True,True,pass
Approval details for claim 845609123478000 seq 002 â€” which overrides were triggered?,approval_info,approval_info,True,cap_api,cap_api,True,0.8984918536519794,0.6403671340617957,0.897619607157424,ensemble,True,True,pass
Was a member PA or plan PA applied to claim 901234567890000 sequence 001 during adjudication?,approval_info,prior_auth_info,False,cap_api,cap_api,True,0.599636996808064,0.20706826339164158,0.4424836565225711,ensemble,False,True,disagreement
Show the transition fill configuration and BPG details for claim 123456789012000 seq 001.,approval_info,approval_info,True,cap_api,cap_api,True,0.9903622871834916,0.43653211350040105,0.9856480218053271,ensemble,True,False,pass
"I want the full approval record for claim 234509876543000 sequence 003, including all plan configuration overrides.",approval_info,approval_info,True,cap_api,cap_api,True,0.884139532816194,0.4680829084160216,0.8721571042140381,ensemble,True,True,pass
Were accumulations bypassed during approval of claim 356789012340000 seq 001? Show approval pathway.,approval_info,approval_info,True,cap_api,cap_api,True,0.8620670379425687,0.32184070534279535,0.8234413704562529,ensemble,False,False,disagreement
Approval info for 478901234560000 seq 002 â€” was this a TF fill and what type?,approval_info,approval_info,True,cap_api,cap_api,True,0.9975257327954584,0.5660777586066316,0.9970301717712139,ensemble,True,False,pass
What approval logic and overrides affected the adjudication of claim 590123456789000 sequence 001?,approval_info,approval_info,True,cap_api,cap_api,True,0.8979815347991504,0.6249665580942084,0.8970910375715033,ensemble,True,True,pass
Retrieve transition fill type and Member PA details applied to claim 603457812309000 seq 001.,approval_info,approval_info,True,cap_api,cap_api,True,0.8848865559129026,0.4241279145537372,0.8745868699767446,ensemble,True,True,pass
Display the BPG override and Smart PA configuration used on claim 714598023614000 sequence 002.,approval_info,approval_info,True,cap_api,cap_api,True,0.7179794119499064,0.24017651876783352,0.6583306917670764,ensemble,False,True,disagreement
"Give me the complete approval summary â€” TF type, BPG setup, and any PA applied â€” for claim 826730145920000 seq 001.",approval_info,approval_info,True,cap_api,cap_api,True,0.8954100440440235,0.5449943889359141,0.8924299852551876,ensemble,True,True,pass
Pull the audit log for claim 243122443413000 sequence 001 â€” I need creation and last modification timestamps.,audit_info,audit_info,True,cap_api,cap_api,True,0.9783631071026099,0.3682320243668638,0.9672714725499446,ensemble,True,False,pass
