text,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match,confidence,raw_confidence,margin,source,agreement,is_confusion_pair,gate_reason
What is the approval status of claim 132435151040074 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9405353231100151,0.9405353231927238,0.9341961978721952,ensemble,True,False,pass
Is claim 180571470939000 sequence 001 approved or denied?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9167760424210566,0.9167760425016496,0.9035670627419702,ensemble,True,False,pass
Approval summary for claim 201503823714118 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.6122858787630143,0.6122858788165081,0.5757694028127063,ensemble,True,False,pass
Check the approval reason for claim 201752592251000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.503231627900734,0.5032316279445215,0.4437978602057545,llm,True,False,confusion_prone
"Was claim 201990819198000 sequence 001 approved? If so, what were the approval messages?",approval_info,approval_info,True,benefits_api,benefits_api,True,0.4756096292351936,0.4756096292765227,0.4379154577185887,llm,True,False,confusion_prone
List the plan overrides that led to approval of claim 211263773300000 sequence 004.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.5728457055851106,0.572845705635094,0.5447546477652486,ensemble,True,False,pass
What BPG configuration was used to approve claim 220133725669000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.6135516207840889,0.6135516208376952,0.597281120745078,ensemble,True,False,pass
Claim 220992183436835 sequence 002 approval details.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.6326692968099334,0.6326692968652414,0.596631060498999,ensemble,True,False,pass
Did claim 221172865083001 sequence 001 pass adjudication? Show the approval logic.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.2876748207256489,0.42305120698613563,0.25591740121215806,llm,False,True,disagreement
What override codes were applied to approve claim 221663541811000 sequence 001?,rejection_reasons,approval_info,False,cap_api,benefits_api,False,0.5738099213688336,0.5738099214189023,0.5468468980282856,ensemble,True,False,pass
Approval status and messages for claim 222492018072002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9271779941323306,0.9271779942138485,0.9209328380784667,ensemble,True,False,pass
Explain the approval decision for claim 222492117457002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.6451457564212287,0.6451457564776469,0.5872024776982714,ensemble,True,False,pass
What plan options led to approval on claim 230624075311000 sequence 002?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.49406143645463946,0.49406143649761103,0.45621635595068677,llm,True,False,confusion_prone
Lookup approval information for claim 231865207544000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.3959300963544584,0.49491262048611984,0.3630129687807661,llm,True,True,confusion_prone
Show the approval codes associated with claim 231912348363000 sequence 002.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.3935444021651539,0.4629934143521518,0.3577379109408757,llm,False,False,disagreement
Claim 240051073172000 sequence 001: approval or rejection?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.9133131345443615,0.9133131346246464,0.9089662010989081,ensemble,True,False,pass
What were the accumulation overrides on approved claim 240063508485000 sequence 001?,beneficiary_info,approval_info,False,benefits_api,benefits_api,True,0.39647499758729376,0.46644117367262333,0.36215548051633834,llm,False,False,disagreement
Adjudication outcome and approval details for claim 240063519295000 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True,0.2695612504709616,0.3964136036680476,0.09527911612373646,llm,False,True,disagreement
Pull the approval summary and override details for claim 240094966940000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.5182261679719891,0.518226168017111,0.49394944515577743,llm,True,False,confusion_prone
What is the transition fill status of claim 130041467416065 sequence 001?,approval_info,claim_status,False,benefits_api,cap_api,False,0.2766651243174846,0.3254883815779506,0.0955677433098762,llm,False,False,disagreement
Is claim 132435151040074 sequence 001 a transition fill?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.2031567872556567,0.23900798502692658,0.01686902696622662,llm,False,False,disagreement
Transition fill details for claim 150692388845000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.5579720411410678,0.5579720411897278,0.484150195962738,ensemble,True,False,pass
Was a TF applied to claim 160060096136030 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.4078657285823597,0.40786572861766,0.3731632649584149,llm,True,False,confusion_prone
Check if transition fill was triggered for claim 180571470939000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.28620214558666235,0.336708406601511,0.1307662671593464,llm,False,False,disagreement
What type of transition fill was applied to claim 191406379285000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.5107665198904815,0.5107665199349397,0.45346794463212287,llm,True,False,confusion_prone
Claim 201503823714118 sequence 001 TF eligibility status.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.4556048001280412,0.4556048001675897,0.4286899254568886,llm,True,False,confusion_prone
Transition fill configuration for claim 201752592251000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.4948829646076641,0.49488296465070863,0.4422328038631664,llm,True,False,confusion_prone
Did this member qualify for transition fill on claim 201990819198000 sequence 001?,approval_info,member_transition_status,False,benefits_api,member_domain,False,0.4460878815074561,0.4460878815461578,0.3761358090735295,ensemble,True,False,pass
TF override details for claim 211263773300000 sequence 004.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.5784241531251526,0.5784241531756324,0.5541480651897828,ensemble,True,False,pass
What plan configuration overrides affected claim 220133725669000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.22944063373142248,0.2699301573541089,0.18944581376544897,llm,False,False,disagreement
Adjudication pathway for claim 220992183436835 sequence 002.,approval_info,claim_status,False,benefits_api,cap_api,False,0.1886488016248846,0.2774247082955801,0.043882949732874175,llm,False,True,disagreement
Transition fill approval information for claim 221172865083001 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.6147655251130565,0.6147655251667707,0.5596281148077429,ensemble,True,False,pass
Was claim 221663541811000 sequence 001 processed under a TF exception?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.33215103824938946,0.41518879784768864,0.30636896836584715,llm,True,True,confusion_prone
Claim 221775171449000 sequence 003: transition fill type and eligibility.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.29860204850967587,0.3512965276887075,0.1311265657202921,llm,False,False,disagreement
