text,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match,confidence,raw_confidence,margin,source,agreement,is_confusion_pair,gate_reason
What is the approval status of claim 132435151040074 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.8997849911306837,0.7384808437976933,0.8997006614067059,ensemble,True,True,pass
Is claim 180571470939000 sequence 001 approved or denied?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True,0.8994068289998279,0.6804269138054049,0.8991001083138019,ensemble,True,True,pass
Approval summary for claim 201503823714118 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9987230598504817,0.5704994394994158,0.998205167908622,ensemble,True,False,pass
Check the approval reason for claim 201752592251000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9940283751730752,0.4546322184631509,0.990541127758479,ensemble,True,False,pass
"Was claim 201990819198000 sequence 001 approved? If so, what were the approval messages?",approval_info,approval_info,True,benefits_api,benefits_api,True,0.8947703685501738,0.47913964396255215,0.8921858184005096,ensemble,True,True,pass
List the plan overrides that led to approval of claim 211263773300000 sequence 004.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9987669151410302,0.5804622354444622,0.9979938453002639,ensemble,True,False,pass
What BPG configuration was used to approve claim 220133725669000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9993629963491572,0.5572355670596507,0.9992758762949518,ensemble,True,False,pass
Claim 220992183436835 sequence 002 approval details.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9993943555562745,0.658900511620409,0.9991867957177533,ensemble,True,False,pass
Did claim 221172865083001 sequence 001 pass adjudication? Show the approval logic.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.8913793305533079,0.38806822213136966,0.8882837774022717,ensemble,True,True,pass
What override codes were applied to approve claim 221663541811000 sequence 001?,rejection_reasons,approval_info,False,cap_api,benefits_api,False,0.9979992984246381,0.4962959920605525,0.9972402779670458,ensemble,True,False,pass
Approval status and messages for claim 222492018072002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9997985709666409,0.7154727608670937,0.9997331044270906,ensemble,True,False,pass
Explain the approval decision for claim 222492117457002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True,0.9983303339198423,0.6519610428978687,0.9968815652158315,ensemble,True,False,pass
